1,职业道德是一种强制性的约束机制。,F
2,在市场经济条件下，克服利益导向是职业道德社会功能的表现。,F
3,办事公道是指从业人员在进行职业活动时要做到助人为乐，有求必应。,F
4,市场经济时代，勤劳是需要的，而节俭则不宜提倡。,F
5,市场经济条件下，应该树立多转行多学知识多长本领的择业观念。,F
6,没有生命危险的职业活动中，不需要制定安全操作规程。,F
7,在感性负载两端并联合适的电容器，可以减小电源供给负载的无功功率。,T
8,三相负载作三角形联结时，测得三个相电流值相等，则三相负载为对称负载。,F
9,三相异步电动机的启停控制线路由电源开关、熔断器、热继电器、按钮组成。,F
10,二极管按结面积可分为点接触型、面接触型。,T
11,二极管只要工作在反向击穿区，一定会被击穿。,F
12,大功率、小功率、高频、低频三极管的图形符号是一样的。,T
13,射极输出器是典型的电压串联负反馈放大电路。,T
14,稳压是在电网波动及负载变化时保证负载上电压稳定。,T
15,测量电流时，要根据电流大小选择适当量程的电流表，不能使电流大于电流表的最大量程。,T
16,导线可分为铜导线和铝导线两大类。,F
17,常用的绝缘材料可分为橡胶和塑料两大类。,F
18,如果触电者伤势严重，呼吸停止或心脏跳动停止，应立即就地抢救或请医生前来。,T
19,家用电力设备的电源应采用单相三线50赫兹220伏交流电。,T
20,劳动者患病或负伤，在规定的医疗期内的，用人单位可以解除劳动合同。,F
21,中华人民共和国电力法规定电力事业投资，实行谁投资、谁收益的原则。,T
22,国产直流单臂电桥的型号用 PJ表示，P表示电桥，J表示直流。,F
23,直流双臂电桥的测量范围为0.01～11Ω。,F
24,示波器大致可分为模拟、数字、组合三类。,T
25,职业纪律中包括群众纪律。,T
26,生产任务紧的时候放松文明生产的要求是允许的。,F
27,频率、振幅和相位均相同的三个交流电压，称为对称三相电压。,F
28,二极管由一个PN结、两个引脚、封装组成。,T
29,稳压二极管的符号与普通二极管的符号是相同的。,F
30,分压式偏置共发射极放大电路是一种能够稳定静态工作点的放大器。,T
31,稳压是在电网波动及负载变化时保证负载上电压稳定。,T
32,被测量的测试结果与被测量的实际数值存在的差值称为测量误差。,T
33,在不能估计被测电路电流大小时，最好先选择量程足够大的电流表，粗测一下，然后根据测量结果，正确选用量程适当的电流表。,T
34,钢丝钳（电工钳子）可以用来剪切细导线。,T
35,千分尺是一种精度较高的精确量具。,T
36,变压器的铁心应该选用硬磁材料。,F
37,为了防止发生人身触电事故和设备短路或接地故障，带电体之间、带电体与地面之间、带电体与其他设施之间、工作人员与带电体之间必须保持的最小空气间隙，称为安全距离。,T
38,劳动者患病或负伤，在规定的医疗期内的，用人单位可以解除劳动合同。,F
39,直流单臂电桥又称为惠斯登电桥，能准确测量大值电阻。,F
40,晶体管特性图示仪是可以测试晶体二极管、三极管的特性曲线的电子仪器。,T
41,集成运放不仅能应用于普通的运算电路，还能用于其它场合。,T
42,多级放大电路间的耦合方式是指信号的放大关系。,F
43,单相半波可控整流电路中，控制角α越大，输出电压Ud越小。,T
44,晶闸管可用串联压敏电阻的方法实现过压保护。,F
45,直流电动机的转子由电枢铁心、绕组、换向器和电刷装置等组成。,F
46,直流电动机弱磁调速时，励磁电流越小，转速越高。,T
47,直流电动机的电气制动方法有：能耗制动、反接制动、回馈制动等。,T
48,三相异步电动机电源反接制动的主电路与反转的主电路类似。,T
49,同步电动机的启动方法与异步电动机一样。,F
50,M7130平面磨床电气控制线路中的两个变压器安装在配电板上。,T
51,M7130平面磨床的三台电动机都不能启动的大多原因是整流变压器没有输出电压，使电动机的控制电路处于断电状态。,F
52,C6150车床控制电路中有4个普通按钮。,T
53,Z3040摇臂钻床中行程开关SQ2安装位置不当或发生移动时会造成摇臂夹不紧。,F
54,光电开关将输入电流在发射器上转换为光信号射出，接收器再根据所接收到的光线强弱或有无对目标物体实现探测。,T
55,采用集成电路技术和SMT表面安装工艺而制造的新一代光电开关器件，具有延时、展宽、外同步、抗相互干扰、可靠性高、工作区域稳定和自诊断等智能化功能。,T
56,当被检测物体的表面光亮或其反光率极高时，对射式光电开关是首选的检测模式。,F
57,高频振荡型接近开关和电容型接近开关对环境条件的要求较高。,F
58,磁性开关可以用于计数、限位等控制场合。,T
59,增量式光电编码器输出的位置数据是相对的。,T
60,在进行PLC系统设计时，I/O点数的选择应该略大于系统计算的点数。,T
61,强电回路的管线尽量避免与可编程序控制器输出、输入回路平行，且线路不在同一根管路内。所有金属外壳（不应带电部分）均应良好接地。,T
62,不管是工作日还是休息日，都穿工作服是一种受鼓励的良好着装习惯。,F
63,生产任务紧的时候放松文明生产的要求是允许的。,F
64,正弦量可以用相量表示，因此可以说，相量等于正弦量。,F
65,三相负载作三角形联结时，测得三个相电流值相等，则三相负载为对称负载。,F
66,低压电器的符号在不同的省市有不同的标准。,F
67,三相异步电动机的启停控制线路由电源开关、熔断器、热继电器、按钮组成。,F
68,二极管两端加上正向电压就一定会导通。,F
69,放大电路通常工作在小信号状态下，功放电路通常工作在极限状态下。,T
70,射极输出器是典型的电压串联负反馈放大电路。,T
71,稳压是在电网波动及负载变化时保证负载上电压稳定。,T
72,选用量具时，不能用千分尺测量粗糙的表面。,T
73,选用绝缘材料时应该从电流大小、磁场强弱、气压高低等方面来进行考虑。,F
